Unique Id,Project Name,Project Address,System,Area,Project Number,Drawn By,Issued Date,Company,itm CID,Fitting Type,Service Type,Service,FAB Service Abbrv,Description (1),Description (2),Schedule/Rating,Alias,Manufacturer,Material Group,Material Data,Material Abbreviation,Size (inch),Size (dec),Inlet Diameter,Size Outlets,Size Branches,RFA Size,RFA Size (max),RFA Size (max dec),Length (ft),Length (dec ft),Quantity,Manufacturer Order Number,RFA Model Number,Spool Name,Spool Name (PiM),Entity Status,Shop Order Number,Item Number,Mark,Weight,Level,Category,Sub Type,Bernhard LB ID,JD Edwards ID,Hanger Diameter,Rod Diameter,Rod Diameter (dec),Rod Inset Depth,Rod Length,Rod Length (dec),Conn Type #1,Conn Type #2,Conn Type #3,Conn Type #4,Conn Type #5,Conn Type #6,Conn Type #7,Conn Type #8
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a6f84,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,PLA-CD-08,PLA-CD-08,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7048,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a704f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Pipework,AGM: Condensate Drain (CD),CD,,Pipe - B88 Copper Type M,Type M,,(Generic),BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,"20' - 0""",20,1,,,PLA-CD-07,PLA-CD-07,Spooled,12981,1,,6.56,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_GEN_000402-0003,,,,,,,,Generic Copper Plain End (Pipe),Generic Copper Plain End (Pipe),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a705f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,3/4,0.75,"3/4""",0.75,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0005,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7109,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"2' - 7 1/4""",2.6087,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,1,,1.7,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0001,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a751f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-05,PLD-CD-05,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7552,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7563,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-04,PLD-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7578,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a759e,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
