Unique Id,Project Name,Project Address,System,Area,Project Number,Drawn By,Issued Date,Company,itm CID,Fitting Type,Service Type,Service,FAB Service Abbrv,Description (1),Description (2),Schedule/Rating,Alias,Manufacturer,Material Group,Material Data,Material Abbreviation,Size (inch),Size (dec),Inlet Diameter,Size Outlets,Size Branches,RFA Size,RFA Size (max),RFA Size (max dec),Length (ft),Length (dec ft),Quantity,Manufacturer Order Number,RFA Model Number,Spool Name,Spool Name (PiM),Entity Status,Shop Order Number,Item Number,Mark,Weight,Level,Category,Sub Type,Bernhard LB ID,JD Edwards ID,Hanger Diameter,Rod Diameter,Rod Diameter (dec),Rod Inset Depth,Rod Length,Rod Length (dec),Conn Type #1,Conn Type #2,Conn Type #3,Conn Type #4,Conn Type #5,Conn Type #6,Conn Type #7,Conn Type #8
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a76b6,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7735,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77b7,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77bb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77d1,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77e2,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77e4,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a77f0,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
85429ca3-4bcc-4f41-ae37-9a1d05de520c-005a7809,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-01,PLC-CD-01,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a8886,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,"1 1/2""",,,,,,1,,,PLC-CD-03,PLC-CD-03,Spooled,12981,2,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a88b8,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"9' - 11 3/4""",9.9765,1,,,PLC-CD-05,PLC-CD-05,Spooled,12981,1,,8.07,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a88bb,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a88cf,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"0' - 5 7/8""",0.4907,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,1,,0.4,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a88ef,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a8a25,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,906 DWV 45 Elbow C x C - Wrot,DWV,45,Nibco,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,3,,0.21,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000049-0002,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a8a2d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a8a39,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,"2' - 6 7/8""",2.5764,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,2,,2.08,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0002,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
8a1a49aa-23cd-44b4-9b47-13d0ff0419f4-005a8a5d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-04,PLC-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9089,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9c0d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9de2,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9e69,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLD-CD-01,PLD-CD-01,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9e7d,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-06,PLC-CD-06,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
89b11114-ba35-44a3-a2e1-77c1d63343fe-005a9e88,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/2,1.5,"1 1/2""",1.5,,,,,,,1,,,PLC-CD-02,PLC-CD-02,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0008,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aabf8,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,"1 1/4""",,,,,,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,3,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aac4c,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"2' - 10 1/2""",2.8721,1,,,PLA-CD-06,PLA-CD-06,Spooled,12981,1,,1.87,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0001,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aac4f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aac51,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-05,PLA-CD-05,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aace3,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"12' - 5 5/8""",12.4688,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,1,,8.1,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0001,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aae15,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,"1 1/4""",,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aae5c,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aae89,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aae9b,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,816 - Cleanout w Plug C - Cast,DWV,,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,3,,0.49,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000320-0001,,,,,,,,Nibco Copper Plain End,Nibco Copper (Cast) Blank (Plug Square End),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aaea1,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aaf92,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,4,,0.18,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aafae,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-04,PLA-CD-04,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005aaff0,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"1' - 10 5/8""",1.885,1,,,PLA-CD-03,PLA-CD-03,Spooled,12981,1,,1.23,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0001,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab012,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,,,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab09f,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2523,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,907 DWV 90 Elbow C x C - Wrot,DWV,90,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-03,PLA-CD-03,Spooled,12981,3,,0.18,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000051-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab0ab,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-03,PLA-CD-03,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C1) (Male),Generic Soldered Joint (C2) (Female),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab132,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2041,Straight,Drainage,AGM: Condensate Drain (CD),CD,,Pipe - Copper DWV,DWV,,Mueller,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,"5' - 10 5/8""",5.8858,1,,,PLA-CD-03,PLA-CD-03,Spooled,12981,2,,3.83,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_MUE_000101-0001,,,,,,,,Mueller Copper Plain End (Pipe),Mueller Copper Plain End (Pipe),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab257,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2522,Fitting,Joint,AGM: Condensate Drain (CD),CD,,Soldered Joint,Wrot,,Joint,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,,,,,,,1,,,PLA-CD-03,PLA-CD-03,Spooled,12981,,,,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_JOINT_000036-0007,,,,,,,,Generic Soldered Joint (C2) (Female),Generic Soldered Joint (C1) (Male),,,,,,
fa79b914-eb2b-43ae-bee8-973517d36efb-005ab2c8,UNC Carrington Hall Phase 2,"120 Medical Drive, Chapel Hill, NC 27514",Condensate,"A, C,D",87400403,,,,2900,Fitting,Drainage,AGM: Condensate Drain (CD),CD,,911 DWV Tee C x C x C - Wrot,DWV,T,Nibco,BIMrxDBS,Copper,Cu,1-1/4,1.25,"1 1/4""",1.25,"1 1/4""",,,,,,1,,,PLA-CD-02,PLA-CD-02,Spooled,12981,2,,0.32,PLAZA LEVEL,MEP Fabrication Pipework,,MDSK_NIB_000054-0001,,,,,,,,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,Nibco Copper (DWV) Cup,,,,,
